,x_naso,y_naso,l_naso,x_torace,y_torace,l_torace,x_spalla_dx,y_spalla_dx,l_spalla_dx,x_gomito_dx,y_gomito_dx,l_gomito_dx,x_polso_dx,y_polso_dx,l_polso_dx,x_spalla_sx,y_spalla_sx,l_spalla_sx,x_gomito_sx,y_gomito_sx,l_gomito_sx,x_polso_sx,y_polso_sx,l_polso_sx,x_cresta_iliaca,y_cresta_iliaca,l_cresta_iliaca,x_anca_dx,y_anca_dx,l_anca_dx,x_ginocchio_dx,y_ginocchio_dx,l_ginocchio_dx,x_caviglia_dx,y_caviglia_dx,l_caviglia_dx,x_anca_sx,y_anca_sx,l_anca_sx,x_ginocchio_sx,y_ginocchio_sx,l_ginocchio_sx,x_caviglia_sx,y_caviglia_sx,l_caviglia_sx,x_occhio_dx,y_occhio_dx,l_occhio_dx,x_occhio_sx,y_occhio_sx,l_occhio_sx,x_zigomo_dx,y_zigomo_dx,l_zigomo_dx,x_zigomo_sx,y_zigomo_sx,l_zigomo_sx,x_piede_sx_1,y_piede_sx_1,l_piede_sx_1,x_piede_sx_2,y_piede_sx_2,l_piede_sx_2,x_piede_sx_3,y_piede_sx_3,l_piede_sx_3,x_piede_dx_1,y_piede_dx_1,l_piede_dx_1,x_piede_dx_2,y_piede_dx_2,l_piede_dx_2,x_piede_dx_3,y_piede_dx_3,l_piede_dx_3
873,,,,2.37922621010137,1.6170487181493534,-0.004337950985474298,-23.397974939292716,-6.664163722876445,0.029839450139444418,,,,,,,15.258172472604727,6.458664298058405,-0.009129646498677098,,,,,,,8.325987772905414,-0.06594085828181928,0.001088812673875495,-13.113985674441315,1.1237033544522645,0.026878792240697683,-13.024699154486637,1.9319779250062223,-0.11003257586538899,-5.267093889738483,-10.353458411872818,0.01962524877181994,-21.06770119563722,3.6611743239259136,-0.01995587950118363,7.615459097181059,5.676886441291768,-0.004801676044649296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,,,,0.9259050130964841,1.522246650369068,-0.007861992308091422,18.444796863525596,3.323731520477237,0.04512268825889894,,,,,,,15.596568548829495,6.939790642774966,0.0016173091053558533,,,,,,,6.3056538710521615,0.1540814779853732,0.008023999373038552,-14.423784778930047,1.2230279452109754,0.029860231073257578,-17.84996008528482,2.461150415866504,-0.09183021855751061,-0.32374034417149744,-9.538350296388009,0.005079058740416004,-22.850099807851162,3.4835904715104453,-0.021522426895636097,2.496512354810129,5.640046483024702,0.007940080265861432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,,,,-0.40840240517341364,1.3885901585385219,-0.011375733070787097,59.71258372965494,13.178904657093158,0.05892561186489575,,,,,,,15.74886459950718,7.3689566029301785,0.01288410354895237,,,,,,,4.576213329405135,0.3580758242403135,0.014925617431559679,-15.047357242922203,1.3129082630476077,0.032613948227223084,-21.66834913478643,2.901968123469156,-0.07037487980773535,2.991593319574932,-8.407686323833156,-0.006836068778287935,-24.052640878169257,3.193455533463853,-0.02124225556370077,-2.1577314956702978,5.397738517165983,0.019913905074368438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,,,,-1.6553324474376687,1.2218406520982246,-0.014810252143627346,98.7213616088848,22.49512120644728,0.07066065442467934,,,,,,,15.511425508226296,7.692177506046863,0.02428364842528851,,,,,,,3.1157742757306104,0.5446185280653097,0.021454936346423908,-15.051514735347613,1.3977125208435404,0.03511133418094162,-24.383710779342785,3.2492162608841593,-0.04647098515969017,4.396772962007809,-7.000241018552407,-0.015207293426374564,-24.646657983590664,2.7865824433204187,-0.019356310198322832,-6.24860912872758,4.975962037640532,0.03064133628562419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,,,,-2.843324376332351,1.0284453306119277,-0.018065335115111273,133.85751769835423,30.884317302531056,0.07981336584812027,,,,,,,14.666489912077793,7.851924017242188,0.03538980958756977,,,,,,,1.8897872411112822,0.7139836147008363,0.027301728683603445,-14.520229246931521,1.4809668735564738,0.037320932558085135,-25.947369064436863,3.4998429345429956,-0.02104356859297527,3.679846153095017,-5.355679021660261,-0.019254384963121252,-24.625763552679977,2.2633276185947815,-0.016206164949494128,-9.708181631313504,4.407247659264848,0.039713780661092005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,,,,-3.9953453786103736,0.8151737132943947,-0.02101484354908694,163.66308932075827,37.99714330739292,0.0859724420412003,,,,,,,12.996436103653188,7.790335681103278,0.04575345636469014,,,,,,,0.8552236488924922,0.8679457318813254,0.0322014350868559,-13.549637773192543,1.564752020782869,0.03920424918065885,-26.357549282834885,3.6527913817783464,0.004902714784389903,,,,-24.005017110287962,1.6290465589047423,-0.012208064626030891,-12.49893539035238,3.729106783347688,0.046809870631300966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,,,,-5.1272435580314095,0.5887735570074486,-0.023515169794288047,186.9155893384824,43.54209124807282,0.08885616357087664,,,,,,,10.299689136712345,7.452796429475772,0.05492138015165521,,,,,,,-0.03518125217773971,1.0094762995307434,0.035949170301525654,-12.243055000984022,1.6492133225082544,0.040711928377076025,-25.657134485954145,3.7088655984738645,0.03032975750247051,,,,-22.81924443208649,0.894332853036414,-0.007822748490122482,-14.612284695340662,2.9823635361128042,0.05170751958700416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,,,,-6.24678217192352,0.35566412789916096,-0.025416192848401825,202.6977313299086,47.30208843273503,0.088333597283466,,,,,,,6.407358225149483,6.791690419242497,0.0624572296373223,,,,,,,-0.8288857759947632,1.1423508914570657,0.03840974798944396,-10.706203271967397,1.7322278282221126,0.04178080686529506,-23.929963253886847,3.6706404553907364,0.05421517442372152,,,,-21.120656188622903,0.07501040111825108,-0.0035230161095760743,-16.066044388413165,2.2094421134844158,0.054290134875686596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,,,,-7.35336255676566,0.12168203999586896,-0.02657393955791682,210.45280547684743,49.147553860321494,0.0844391342867906,,,,,,,1.1995754257747002,5.770131473712919,0.06796342068310442,,,,,,,-1.569931758192869,1.2706913828737194,0.03952315830734458,-9.042833954842791,1.8092619232288487,0.04233232660474354,-21.295918073676347,3.542418327335729,0.07560205771762617,,,,-18.975934964330612,-0.8081398669901715,0.0002388911788375886,-16.90107458182044,1.452678775708515,0.05454681581400731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,,,,-8.438399960369281,-0.1081086162773518,-0.026863997679071563,210.02216831677688,49.04509255410178,0.07737925444853386,,,,,,,-5.379553764054778,4.365444841888649,0.07110284505407927,,,,,,,-2.2959547839643015,1.3984708779271096,0.03930522338172269,-7.350874756117982,1.873440971976602,0.04227271520589867,-17.905082648041507,3.3302255101465086,0.0936467603557106,,,,-16.46296820558818,-1.7299240598226229,0.003062034200225359,-17.177321954819554,0.752721090212332,0.052566735112538815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
