x_naso,y_naso,l_naso,x_torace,y_torace,l_torace,x_spalla_dx,y_spalla_dx,l_spalla_dx,x_gomito_dx,y_gomito_dx,l_gomito_dx,x_polso_dx,y_polso_dx,l_polso_dx,x_spalla_sx,y_spalla_sx,l_spalla_sx,x_gomito_sx,y_gomito_sx,l_gomito_sx,x_polso_sx,y_polso_sx,l_polso_sx,x_cresta_iliaca,y_cresta_iliaca,l_cresta_iliaca,x_anca_dx,y_anca_dx,l_anca_dx,x_ginocchio_dx,y_ginocchio_dx,l_ginocchio_dx,x_caviglia_dx,y_caviglia_dx,l_caviglia_dx,x_anca_sx,y_anca_sx,l_anca_sx,x_ginocchio_sx,y_ginocchio_sx,l_ginocchio_sx,x_caviglia_sx,y_caviglia_sx,l_caviglia_sx,x_occhio_dx,y_occhio_dx,l_occhio_dx,x_occhio_sx,y_occhio_sx,l_occhio_sx,x_zigomo_dx,y_zigomo_dx,l_zigomo_dx,x_zigomo_sx,y_zigomo_sx,l_zigomo_sx,x_piede_sx_1,y_piede_sx_1,l_piede_sx_1,x_piede_sx_2,y_piede_sx_2,l_piede_sx_2,x_piede_sx_3,y_piede_sx_3,l_piede_sx_3,x_piede_dx_1,y_piede_dx_1,l_piede_dx_1,x_piede_dx_2,y_piede_dx_2,l_piede_dx_2,x_piede_dx_3,y_piede_dx_3,l_piede_dx_3
968.882992360696,214.35484788724457,0.6326580639485744,983.399595891911,247.81702424360304,0.5673878637448526,964.7931213076945,249.98579295418372,0.5589231276712643,994.4889672182948,360.5757672575739,0.5492629726484751,993.4642730784702,447.2315289222705,0.6674701218775012,958.488971681157,240.36748011287105,0.5117970638527121,953.7506356857195,353.99377466301735,0.47282559172611877,964.3296238305511,439.2320006593509,0.539000509426132,981.8034057773198,439.6234006364935,0.5092346136332583,979.5122667960848,441.30885499483355,0.44301022693119235,964.2967753288726,578.5348895170008,0.5780245244366041,944.0333064488655,719.1956899078826,0.676246553346436,975.6303795382161,439.14347962847137,0.49583663557553925,970.3867062896873,578.4456404911522,0.6226144646450423,956.0040946913383,717.6988340938511,0.6435622087507471,994.6460326628624,199.855579870285,0.4471393912308969,940.557787478417,196.52747765711536,0.6093392112605104,875.6083793849765,171.19650254232104,0.38909168870578825,1066.5836883517954,185.09334829331584,0.5312504780822433,948.4826033352333,735.7929558267303,0.511626393930639,954.4474264515187,736.9468407137307,0.5247754512899597,957.2801127527697,733.7889922740737,0.5532860404310488,931.9111210857822,735.191825881065,0.49861705501886777,929.234710452844,735.0598240185828,0.49706285923306315,946.0510753435462,733.6012048232852,0.5860841752646029
968.1944913616115,214.591562344279,0.6360440669714815,983.2830403319979,247.89666090881533,0.5678754391228362,964.5535740791229,250.02268509452614,0.5570289787470295,994.0575693739795,360.61411051758705,0.548477178353375,993.0395478485746,447.17911138848905,0.6678021868126061,958.7372185245841,240.45644466341815,0.5122500040878543,953.6625978868213,353.8655811385704,0.46762491534772527,962.2922893259147,438.4310077706076,0.5345254179622712,981.9387294213753,439.5629194054122,0.5096995627423672,979.6162490430015,441.2271909777648,0.4426714430988499,964.7149691730342,578.4548559612543,0.577408724450833,944.8333947727332,718.9877124865884,0.674888452725697,976.2034861406581,439.11654134161427,0.4962676965178843,970.5446211196946,578.4797878842417,0.6223809885684645,955.8959405671285,717.8244791116352,0.6440066893904515,993.9526938032441,200.1743199056315,0.4407030492651036,940.8798412273118,196.82420048570052,0.6177532919341171,852.1196616700829,169.7874418039987,0.38729731717839966,1072.952159225172,185.78484456337927,0.5416955458226672,947.2886532110086,735.9598618651675,0.5164809417083376,953.3920673604072,737.3248328883483,0.5297746204447952,957.3129988293273,733.9501441497839,0.5539555080602554,932.0692947346693,735.1135068889607,0.4990540553512939,929.5190612301618,734.8706398417281,0.4965837994664509,947.0178680210173,733.4792530859321,0.5835926082707483
967.4381429643782,214.81967677802464,0.639584645674543,983.1093270187071,247.9716138170263,0.5686301205174301,964.2529417251754,250.0560466917676,0.5553301650241056,993.5114191201969,360.64463015839954,0.5475398994667172,992.5785492456497,447.10364027938164,0.6678987298467451,958.9807822877398,240.5469105531856,0.512999780655154,953.8521354016234,353.7273401408427,0.4623689661719839,960.3088021763108,437.6224720792678,0.5298653735421865,982.0117370234311,439.49802590236914,0.5104067736876111,979.6641646154776,441.14104824220755,0.4426969867620853,965.0880592046017,578.3764010841443,0.5770827416555442,945.6014410907868,718.7783584570069,0.6736188154980542,976.7136406294645,439.08433889044875,0.4968784460267315,970.6308501405001,578.5135765156843,0.6223663208411657,955.7120360174192,717.953518247087,0.6446027467594817,993.160156487206,200.49033912032615,0.434248000707647,941.0500696516956,197.11792630545773,0.6258807048378829,827.5724564383811,168.40411723771226,0.38754406364554195,1077.812821604004,186.3872654060621,0.5524572154328977,946.0217346074636,736.1320004590449,0.5214165341438044,952.259935001963,737.7074273889592,0.534761158909105,957.2660523689601,734.1141856213142,0.5547720124697195,932.2163831928553,735.0330293719843,0.4994755177598142,929.7994113057487,734.6792932792079,0.4960925183756452,947.9505193762095,733.3541889598276,0.5811783944600428
966.6156570522951,215.03865027498856,0.6432679838836146,982.8788223410527,248.04164248496275,0.5696471565747975,963.8917275396938,250.0856529611525,0.5538317464375071,992.8527701590075,360.6664694638618,0.5464452100493451,992.0813364194938,447.00456218935176,0.667751518858652,959.2191805924106,240.63868472354588,0.5140425023557339,954.31056944662,353.5801229141011,0.4571282624054523,958.4096636860783,436.8138663491434,0.5250833470272018,982.0222367146355,439.4286600675957,0.511353496161458,979.6557114220533,441.05033244666294,0.44308646643513105,965.4148784489078,578.2996112556373,0.577049029382689,946.3360040557183,718.5680753473084,0.672442892689203,977.1600625124281,439.046885638494,0.49766738439709596,970.6452665568744,578.5468806659813,0.6225716584258988,955.4530938932713,718.0855746848285,0.6453498190592409,992.2707250519148,200.80278594743982,0.4277905229144874,941.0708280631617,197.407845824172,0.6337087152618761,802.0764188411114,167.05925168502577,0.3898196194453056,1081.1948748905595,186.90083240450548,0.5634077404173723,944.6844632687876,736.3087979147797,0.5264196318617209,951.0535538342606,738.093549252107,0.5397236005909453,957.139860224021,734.280596108439,0.5557337909372188,932.3517965100241,734.9504943736242,0.4998792300734426,930.0748403958399,734.486094702598,0.4955875700845507,948.8474129965101,733.2261510110659,0.578849919989921
965.7288506636291,215.24796708740843,0.6470817917910142,982.5919624224688,248.10651648564922,0.5709205965564534,963.4705149445751,250.11128936329138,0.552537894903491,992.0843910716578,360.67883459642815,0.5451884077047583,991.5476062838758,446.8814673827917,0.6673540580171593,959.4518417335411,240.73156328254345,0.5153728915178822,955.0261839103513,353.42504782927483,0.4519756504716342,956.6225355301083,436.0125970617819,0.5202466290221062,981.9701281279906,439.3547745251334,0.512535880265545,979.5906610595135,440.9549610059337,0.4438374314371546,965.6943043273692,578.2245640960817,0.5773085718103733,947.0356525650305,718.3573174624063,0.6713655809369964,977.5420666310931,439.0042089467423,0.49863223067497364,970.5878700128593,578.5795744987404,0.6229970933031095,955.1199680780356,718.2202658636395,0.6462466213609469,991.2869920328222,201.11081015106362,0.4213472795888821,940.9448757661609,197.6931547622041,0.641225616631289,775.7511519680904,165.7651462472252,0.394056193818709,1083.1372318383499,187.32666684759891,0.5744269831962411,943.279600729236,736.4896740025235,0.5314767441930904,949.7756131953961,738.4821190299883,0.5446507737939963,956.9351660100405,734.4488558026292,0.5568383983690476,932.4748827625451,734.8660212200327,0.500263157962425,930.3443272229764,734.2913729742793,0.49506766259248636,949.7069458434978,733.0952940887232,0.5766153669783106
964.7796424610067,215.44713847515249,0.6510133861980186,982.2492522472744,248.16601629941485,0.5724433473966286,962.9899662264451,250.1327527600433,0.5514518589488923,991.2095505046344,360.6810002147935,0.5437660317313094,990.9766899712098,446.7340902545666,0.66670159862036,959.6781074561369,240.8253320816015,0.5169843439263041,955.9844368995736,353.2632690026381,0.446985645008375,954.9719353227889,435.2259228966984,0.5154262931825015,981.8554030167616,439.2763350512284,0.5139490138090697,979.4688598754179,440.85486381500004,0.4449454068936292,965.9252628919041,578.1513283015572,0.5778608734997714,947.6989700392057,718.1465441162801,0.6703913923286221,977.8590652291139,438.9563501492349,0.49976994175424005,970.4587867946116,578.6115325364464,0.6236416129608147,954.7136508252196,718.357205052026,0.6472911555669376,990.211827428328,201.41356608806612,0.41493526810657194,940.6753635291553,197.97305703052197,0.6484207321855261,748.7263077488202,164.53346653525892,0.4001359781994317,1083.68837041552,187.66675797547006,0.5854034574281162,941.8100459805393,736.6740445907484,0.5365744889558444,948.4289585940878,738.8720573049418,0.5495318330630741,956.652867614909,734.6184479470318,0.5580827275773917,932.5849300707221,734.7797472535603,0.5006254500152043,930.6067533840627,734.0954743463712,0.49453166484705513,950.5275328870256,732.9617887811758,0.5744826660436796
963.7700469073251,215.63570442995754,0.6550497697125365,981.8512646493374,248.21993412197585,0.5742072403781129,962.4508210983945,250.14985250791221,0.5505759358067635,990.2319988522175,360.67231449857314,0.542175873746228,990.3675545910296,446.56230876131355,0.6657911426480314,959.8972361783431,240.91976734053083,0.5188690017153378,957.1682051170386,353.09596453185657,0.4422336192464337,953.4789730475177,434.4608741227472,0.5106965301999711,981.6781456547241,439.1933209903609,0.5155869691429027,979.2902298595899,440.7499839243453,0.446403957282132,966.1067329613368,578.0799635146027,0.5787039644772681,948.3245587165009,717.936217842796,0.6695244261129292,978.1105697890464,438.90336447729237,0.5010767376237772,970.2582696860005,578.6426301403927,0.6245031106373166,954.2352696881869,718.496002938575,0.6484807256683676,989.048366587422,201.71021594393392,0.4085717594492688,940.2658196177587,198.2467678574581,0.6552844168578319,721.1417607909508,163.37503012348884,0.407900063229911,1082.9061351281312,187.9239225057813,0.5962349950757048,940.2788266112826,736.8613242767408,0.5416996472496005,947.0165823887003,739.2622891725526,0.5543562880046214,956.2940142453267,734.7888610896921,0.5594630343919904,932.6811689563858,734.6918274812248,0.5009644419882449,930.8609077535996,733.898761271795,0.49397861298005824,951.3076117511634,732.8258208074618,0.5724594485886612
962.7021681631555,215.81323527660032,0.6591777081804235,981.3986391639758,248.26807462688157,0.5762031060889102,961.853895089078,250.16241148379927,0.5499114515319636,989.1559464844685,360.65220355344815,0.5404169810894556,989.7188103652029,446.3661428695037,0.6646214395587023,960.1084066419855,241.01463631880222,0.5210178375006117,958.5580558507623,352.9243244853019,0.4377948381368835,952.1611346904649,433.72417400078075,0.5061338376799868,981.4385330159266,439.1057256169953,0.5174428585400126,979.0547693610811,440.64027816344117,0.4482047763888561,966.2377501449914,578.0105202409014,0.5798344207231848,948.9110439503362,717.7268025931868,0.6687683425808495,978.296192631932,438.84532093294354,0.5025481323119382,969.986697475772,578.6727439931778,0.625578405118894,953.6860840473047,718.6362692300778,0.6498119580709509,987.7999967564492,201.99993292952038,0.40227422997373996,939.7201344180042,198.51351685155112,0.6618080592445464,693.1478632097604,162.29960121182887,0.4171592826860926,1080.8574811198987,188.10175564807255,0.6068291199479903,938.6890894360099,737.0509289999703,0.5468392133692273,945.5416138748055,739.6517486726794,0.5591140292780815,955.8598030158637,734.95959129957,0.5609749672303336,932.7627750313754,734.6024341389118,0.5012786602377212,931.1054913993027,733.7016111320992,0.4934077156856846,952.0456473571865,732.6875903465459,0.5705529992608876
961.5781937216609,215.97933314616748,0.6633838057365166,980.8920807443629,248.31025567983983,0.5784208562161061,961.2000777618326,250.17026703833676,0.5494587495503845,987.986038590052,360.62017517523486,0.5384896532761979,989.0287231470624,446.1457520718412,0.6631929767597703,960.3107219696469,241.10969803082128,0.5234207478354025,960.1325409791167,352.7495387856402,0.433743335650282,951.0321185687353,433.02216332685623,0.5018160553736853,981.1368347320368,439.01355644135936,0.519508896993835,978.7625536274801,440.52571770932076,0.45033780073043866,966.3174107390715,577.9430398122904,0.5812473995651725,949.4570784952691,717.5187619284486,0.6681263393935767,978.4156482744071,438.7823021122896,0.5041789699901651,969.6445741157871,578.7017525821503,0.6268632697198236,953.0674812411481,718.7776142504347,0.6512808266937712,986.4703423276129,202.2819044261386,0.39606028427540757,939.0425436817574,198.77255098851867,0.6679840835459053,664.9057822468546,161.3156990669942,0.4277054027231279,1077.6181536262347,188.2045738487259,0.6171031988465446,937.0440906341527,737.2422786255247,0.5519804400050126,944.0073088040282,740.0393831483257,0.5637953519530318,955.3515750870267,735.1301443351247,0.5626136006971084,932.8288720057026,734.5117561724456,0.501566824343261,931.3391229845324,733.5044148871202,0.49281835872309726,952.7401365488342,732.5473113075901,0.5687702090608642
960.4003877980483,216.13363331714336,0.6676545769689393,980.3323583439161,248.34630900264352,0.580849570677734,960.4903307667828,250.17327187243046,0.5492171879002588,986.7273267251459,360.5758219563424,0.5363954317239563,988.2952322654937,445.90143202848304,0.6615079640754029,960.5032141052538,241.2047040027359,0.5260666539684016,961.8685072238197,352.57278513215056,0.4301506498991083,950.1017287368282,432.3607292521792,0.4978212421212201,980.7734128257499,438.91683545779375,0.5217764712091489,978.413735163767,440.406288597407,0.45279134286062656,966.3448754818452,577.877554396185,0.5829366891337939,949.9613467675933,717.3125572149654,0.6676011306194726,978.4687545385569,438.71440397974055,0.5059634656295525,969.2325275305507,578.7295366821542,0.6283524699105184,952.3809723093774,718.919650533327,0.6528826824874686,985.0632488385895,202.55533506707286,0.3899475684788929,938.2376104307649,199.02313751112177,0.673805951355773,636.5879109586981,160.43042706869952,0.43932138508474144,1073.272294549922,188.23734956563652,0.6269844288694167,935.3471854214141,737.4347994850738,0.5571108789445024,942.4170383597464,740.4241575129365,0.5683909764217535,954.7708113598277,735.3000377555553,0.5643734727416472,932.8785350024797,734.4199986370463,0.5018278489348416,931.5603446294202,733.3075756519188,0.49221010852820635,953.3896126851348,732.405210544577,0.5671175295965288
